time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,10.0,3.0,20,6
2024-06-19 00:00:00+00:00,1.0,1.0,43,4
2024-06-20 00:00:00+00:00,,,11,2
2024-06-21 00:00:00+00:00,,,7,3
2024-06-22 00:00:00+00:00,,,23,3
2024-06-23 00:00:00+00:00,,,35,9
2024-06-24 00:00:00+00:00,,,41,10
2024-06-25 00:00:00+00:00,,,6,2
2024-06-26 00:00:00+00:00,,,10,6
2024-06-27 00:00:00+00:00,,,5,3
2024-06-28 00:00:00+00:00,3.0,3.0,28,5
2024-06-29 00:00:00+00:00,2.0,1.0,19,5
2024-06-30 00:00:00+00:00,,,58,6
2024-07-01 00:00:00+00:00,2.0,2.0,19,1
