url_path,views_total,views_unique
/vishal2376/git-coach,53,40
/vishal2376/git-coach/tree/master,7,2
/vishal2376/git-coach/tree/master/app,6,3
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/MainActivity.kt,5,3
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,4,4
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/GitApplication.kt,3,2
/vishal2376/git-coach/releases/tag/v5.1,2,2
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach/fragments,2,2
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/SplashScreen.kt,2,1
/vishal2376/git-coach/blob/master/README.md,2,1
