url_path,views_total,views_unique
/vishal2376/git-coach,36,31
/vishal2376/git-coach/releases/tag/v5.2,7,7
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,5,5
/vishal2376/git-coach/blob/master/screenshots/cmdG.jpg,4,4
/vishal2376/git-coach/blob/master/screenshots/about_us.jpg,2,2
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,2,2
/vishal2376/git-coach/blob/master/screenshots/search.jpg,2,2
/vishal2376/git-coach/pulls,2,2
/vishal2376/git-coach/releases,2,2
/vishal2376/git-coach/compare/v5.1...v5.2,2,1
