time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-22 00:00:00+00:00,1,1,1,1
2025-05-23 00:00:00+00:00,2,2,5,4
2025-05-24 00:00:00+00:00,2,2,3,3
2025-05-25 00:00:00+00:00,2,2,1,1
2025-05-26 00:00:00+00:00,8,4,10,4
2025-05-27 00:00:00+00:00,3,2,3,3
2025-05-28 00:00:00+00:00,1,1,3,3
2025-05-29 00:00:00+00:00,5,2,5,3
2025-05-30 00:00:00+00:00,6,3,5,4
2025-05-31 00:00:00+00:00,1,1,3,3
2025-06-01 00:00:00+00:00,1,1,6,2
2025-06-02 00:00:00+00:00,2,2,3,3
2025-06-03 00:00:00+00:00,4,3,4,2
