time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-26 00:00:00+00:00,,,1,1
2024-08-27 00:00:00+00:00,1.0,1.0,3,3
2024-08-28 00:00:00+00:00,1.0,1.0,5,3
2024-08-29 00:00:00+00:00,1.0,1.0,3,3
2024-08-30 00:00:00+00:00,,,6,6
2024-08-31 00:00:00+00:00,2.0,2.0,5,3
2024-09-01 00:00:00+00:00,2.0,1.0,12,7
2024-09-02 00:00:00+00:00,5.0,3.0,12,4
2024-09-03 00:00:00+00:00,1.0,1.0,9,1
2024-09-04 00:00:00+00:00,,,1,1
2024-09-05 00:00:00+00:00,1.0,1.0,1,1
2024-09-06 00:00:00+00:00,1.0,1.0,2,2
2024-09-07 00:00:00+00:00,1.0,1.0,3,1
2024-09-08 00:00:00+00:00,,,10,5
