url_path,views_total,views_unique
/vishal2376/git-coach,38,29
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,6,4
/vishal2376/git-coach/tree/master/app,4,2
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/SplashScreen.kt,3,1
/vishal2376/git-coach/commits/master,3,1
/vishal2376/git-coach/blob/master/app/src/main/assets/pt/git_commands.json,2,1
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/MainActivity.kt,2,1
/vishal2376/git-coach/blob/master/app/build.gradle,1,1
/vishal2376/git-coach/blob/master/app/src/main/AndroidManifest.xml,1,1
/vishal2376/git-coach/blob/master/app/src/main/assets/en/git_quiz.json,1,1
