url_path,views_total,views_unique
/vishal2376/git-coach,110,86
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,32,16
/vishal2376/git-coach/tree/master/app,29,11
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach,23,6
/vishal2376/git-coach/tree/master/app/src/main,22,7
/vishal2376/git-coach/tree/master/app/src,21,8
/vishal2376/git-coach/tree/master/app/src/main/assets,13,3
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/GitApplication.kt,12,5
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/adapters/GitInfoAdapter.kt,12,3
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/MainActivity.kt,10,4
