time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,9,3,2.0,2.0
2025-11-10 00:00:00+00:00,7,7,5.0,2.0
2025-11-11 00:00:00+00:00,5,4,,
2025-11-12 00:00:00+00:00,2,2,1.0,1.0
2025-11-13 00:00:00+00:00,12,7,3.0,3.0
2025-11-14 00:00:00+00:00,17,7,3.0,2.0
2025-11-15 00:00:00+00:00,4,3,3.0,2.0
2025-11-16 00:00:00+00:00,6,5,1.0,1.0
2025-11-17 00:00:00+00:00,4,4,5.0,3.0
2025-11-18 00:00:00+00:00,4,4,7.0,4.0
2025-11-19 00:00:00+00:00,3,3,2.0,2.0
2025-11-20 00:00:00+00:00,5,5,8.0,4.0
2025-11-21 00:00:00+00:00,3,3,7.0,4.0
2025-11-22 00:00:00+00:00,3,2,6.0,3.0
