url_path,views_total,views_unique
/vishal2376/git-coach,25,20
/vishal2376/git-coach/releases/tag/v5.2,6,3
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,5,5
/vishal2376/git-coach/blob/master/screenshots/quiz_result.jpg,2,2
/vishal2376/git-coach/blob/master/screenshots/cmdB.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdY.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/font_settings.jpg,1,1
/vishal2376/git-coach/forks,1,1
/vishal2376/git-coach/issues/1,1,1
