time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-25 00:00:00+00:00,4.0,3.0,1.0,1.0
2025-10-26 00:00:00+00:00,10.0,4.0,1.0,1.0
2025-10-27 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-10-28 00:00:00+00:00,10.0,4.0,8.0,5.0
2025-10-29 00:00:00+00:00,15.0,5.0,4.0,4.0
2025-10-30 00:00:00+00:00,6.0,5.0,2.0,2.0
2025-10-31 00:00:00+00:00,5.0,5.0,9.0,4.0
2025-11-01 00:00:00+00:00,7.0,2.0,2.0,2.0
2025-11-02 00:00:00+00:00,5.0,5.0,7.0,2.0
2025-11-03 00:00:00+00:00,10.0,6.0,1.0,1.0
2025-11-04 00:00:00+00:00,12.0,4.0,,
2025-11-05 00:00:00+00:00,7.0,4.0,1.0,1.0
2025-11-06 00:00:00+00:00,8.0,5.0,,
2025-11-07 00:00:00+00:00,,,4.0,3.0
