time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-29 00:00:00+00:00,5,5,8,1
2025-06-30 00:00:00+00:00,6,5,16,7
2025-07-01 00:00:00+00:00,13,3,6,5
2025-07-02 00:00:00+00:00,5,5,22,4
2025-07-03 00:00:00+00:00,5,4,4,2
2025-07-04 00:00:00+00:00,5,5,3,2
2025-07-05 00:00:00+00:00,2,2,3,2
2025-07-06 00:00:00+00:00,5,5,2,2
2025-07-07 00:00:00+00:00,4,4,2,2
2025-07-08 00:00:00+00:00,2,2,25,5
2025-07-09 00:00:00+00:00,4,4,12,7
2025-07-10 00:00:00+00:00,4,4,7,4
2025-07-11 00:00:00+00:00,2,2,1,1
2025-07-12 00:00:00+00:00,1,1,4,3
