time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,5.0,2.0,6,5
2025-03-24 00:00:00+00:00,2.0,2.0,9,5
2025-03-25 00:00:00+00:00,1.0,1.0,13,7
2025-03-26 00:00:00+00:00,9.0,4.0,11,7
2025-03-27 00:00:00+00:00,1.0,1.0,9,4
2025-03-28 00:00:00+00:00,3.0,2.0,31,4
2025-03-29 00:00:00+00:00,5.0,2.0,6,4
2025-03-30 00:00:00+00:00,1.0,1.0,6,3
2025-03-31 00:00:00+00:00,11.0,6.0,3,3
2025-04-01 00:00:00+00:00,5.0,3.0,5,4
2025-04-02 00:00:00+00:00,1.0,1.0,8,4
2025-04-03 00:00:00+00:00,8.0,6.0,5,5
2025-04-04 00:00:00+00:00,3.0,2.0,5,4
2025-04-05 00:00:00+00:00,,,4,3
