url_path,views_total,views_unique
/vishal2376/git-coach,36,29
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,5,5
/vishal2376/git-coach/releases/tag/v5.2,5,4
/vishal2376/git-coach/blob/master/app/src/androidTest/java/com/vishal2376/gitcoach/ExampleInstrumentedTest.kt,3,1
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,2,2
/vishal2376/git-coach/releases,2,2
/offa/android-foss,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdB.jpg,1,1
/vishal2376/git-coach/issues/5,1,1
/vishal2376/git-coach/tree/master/app,1,1
