time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-14 00:00:00+00:00,1.0,1.0,7,4
2024-09-15 00:00:00+00:00,,,17,6
2024-09-16 00:00:00+00:00,2.0,2.0,10,5
2024-09-17 00:00:00+00:00,4.0,3.0,1,1
2024-09-18 00:00:00+00:00,1.0,1.0,4,3
2024-09-19 00:00:00+00:00,2.0,2.0,3,2
2024-09-20 00:00:00+00:00,2.0,2.0,6,2
2024-09-21 00:00:00+00:00,1.0,1.0,25,3
2024-09-22 00:00:00+00:00,,,1,1
2024-09-23 00:00:00+00:00,,,14,4
2024-09-24 00:00:00+00:00,1.0,1.0,2,2
2024-09-25 00:00:00+00:00,1.0,1.0,12,5
2024-09-26 00:00:00+00:00,1.0,1.0,8,5
2024-09-27 00:00:00+00:00,,,7,3
