time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,2,2,5,3
2025-04-15 00:00:00+00:00,4,2,6,3
2025-04-16 00:00:00+00:00,6,4,10,8
2025-04-17 00:00:00+00:00,7,4,8,5
2025-04-18 00:00:00+00:00,4,3,6,5
2025-04-19 00:00:00+00:00,4,2,8,7
2025-04-20 00:00:00+00:00,1,1,4,4
2025-04-21 00:00:00+00:00,4,2,5,5
2025-04-22 00:00:00+00:00,6,3,7,4
2025-04-23 00:00:00+00:00,2,2,3,1
2025-04-24 00:00:00+00:00,1,1,8,5
2025-04-25 00:00:00+00:00,5,3,2,2
2025-04-26 00:00:00+00:00,7,4,2,2
