time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,3,3,2,2
2026-04-28 00:00:00+00:00,18,8,1,1
2026-04-29 00:00:00+00:00,57,16,4,3
2026-04-30 00:00:00+00:00,51,13,5,3
2026-05-01 00:00:00+00:00,28,7,0,0
2026-05-02 00:00:00+00:00,24,8,2,2
2026-05-03 00:00:00+00:00,21,7,2,2
2026-05-04 00:00:00+00:00,32,9,4,3
2026-05-05 00:00:00+00:00,30,10,1,1
2026-05-06 00:00:00+00:00,16,7,8,7
2026-05-07 00:00:00+00:00,21,9,4,4
2026-05-08 00:00:00+00:00,6,5,0,0
2026-05-09 00:00:00+00:00,19,9,5,2
2026-05-10 00:00:00+00:00,27,10,5,1
