time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-17 00:00:00+00:00,,,14,3
2024-12-18 00:00:00+00:00,2.0,1.0,3,3
2024-12-19 00:00:00+00:00,4.0,2.0,10,2
2024-12-20 00:00:00+00:00,5.0,3.0,2,2
2024-12-21 00:00:00+00:00,,,5,4
2024-12-22 00:00:00+00:00,2.0,1.0,9,2
2024-12-23 00:00:00+00:00,5.0,3.0,33,6
2024-12-24 00:00:00+00:00,4.0,3.0,10,7
2024-12-25 00:00:00+00:00,4.0,4.0,2,1
2024-12-26 00:00:00+00:00,2.0,2.0,7,5
2024-12-27 00:00:00+00:00,,,3,3
2024-12-28 00:00:00+00:00,3.0,1.0,5,3
2024-12-29 00:00:00+00:00,,,11,7
2024-12-30 00:00:00+00:00,,,8,3
