url_path,views_total,views_unique
/vishal2376/git-coach,62,50
/vishal2376/git-coach/tree/master/app/src/main/assets,10,2
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,9,4
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach,9,1
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/GitApplication.kt,6,2
/vishal2376/git-coach/blob/master/app/src/main/java/com/vishal2376/gitcoach/MainActivity.kt,6,2
/vishal2376/git-coach/tree/master/app,6,2
/vishal2376/git-coach/tree/master/app/src/main,5,1
/vishal2376/git-coach/tree/master/app/src/main/res/layout,5,1
/vishal2376/git-coach/releases/tag/v5.1,4,4
