url_path,views_total,views_unique
/vishal2376/git-coach,49,38
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,11,8
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,4,2
/vishal2376/git-coach/releases/tag/v5.1,3,3
/vishal2376/git-coach/releases,3,2
/vishal2376/git-coach/pulls,2,2
/vishal2376/git-coach/issues,2,1
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/cmdY.jpg,1,1
/vishal2376/git-coach/blob/master/screenshots/quiz.jpg,1,1
