time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-19 00:00:00+00:00,1,1,4.0,3.0
2025-06-20 00:00:00+00:00,5,4,,
2025-06-21 00:00:00+00:00,3,2,12.0,1.0
2025-06-22 00:00:00+00:00,1,1,4.0,3.0
2025-06-23 00:00:00+00:00,8,7,4.0,3.0
2025-06-24 00:00:00+00:00,3,3,17.0,3.0
2025-06-25 00:00:00+00:00,5,5,11.0,3.0
2025-06-26 00:00:00+00:00,5,5,10.0,1.0
2025-06-27 00:00:00+00:00,5,5,2.0,2.0
2025-06-28 00:00:00+00:00,4,4,5.0,3.0
2025-06-29 00:00:00+00:00,5,5,8.0,1.0
2025-06-30 00:00:00+00:00,6,5,16.0,7.0
2025-07-01 00:00:00+00:00,13,3,6.0,5.0
2025-07-02 00:00:00+00:00,1,1,22.0,4.0
