url_path,views_total,views_unique
/vishal2376/git-coach,44,32
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,5,5
/vishal2376/git-coach/blob/master/screenshots/quiz.jpg,3,2
/vishal2376/git-coach/blob/master/README.md,3,1
/vishal2376/git-coach/blob/master/app/build.gradle,2,2
/vishal2376/git-coach/tree/master/app,2,2
/vishal2376/git-coach/tree/master/screenshots,2,2
/vishal2376/git-coach/stargazers,2,1
/vishal2376/git-coach/blob/master/build.gradle,1,1
/vishal2376/git-coach/blob/master/fastlane/metadata/android/de/full_description.txt,1,1
