url_path,views_total,views_unique
/vishal2376/git-coach,67,36
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,6,5
/vishal2376/git-coach/blob/master/screenshots/lesson_detail.jpg,4,4
/vishal2376/git-coach/blob/master/screenshots/nav.jpg,3,3
/vishal2376/git-coach/pulls,3,2
/vishal2376/git-coach/blob/master/screenshots/quiz.jpg,3,1
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,2,2
/vishal2376/git-coach/blob/master/screenshots/font_settings.jpg,2,2
/vishal2376/git-coach/releases/tag/v5.2,2,2
/vishal2376/git-coach/blob/master/screenshots/cmdB.jpg,2,1
